STATUS | wrapperm | 2016/12/22 16:28:59 | Order print service service installed.
STATUS | wrapper  | 2016/12/22 16:28:59 | --> Wrapper Started as Service
STATUS | wrapper  | 2016/12/22 16:28:59 | Java Service Wrapper Community Edition 32-bit 3.5.30
STATUS | wrapper  | 2016/12/22 16:28:59 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2016/12/22 16:28:59 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2016/12/22 16:28:59 | 
WARN   | wrapper  | 2016/12/22 16:28:59 | ---------------------------------------------------------------------
WARN   | wrapper  | 2016/12/22 16:28:59 | The JVM is being launched with a debugger enabled and could possibly
WARN   | wrapper  | 2016/12/22 16:28:59 | be suspended.  To avoid unwanted shutdowns, timeouts will be
WARN   | wrapper  | 2016/12/22 16:28:59 | disabled, removing the ability to detect and restart frozen JVMs.
WARN   | wrapper  | 2016/12/22 16:28:59 | ---------------------------------------------------------------------
STATUS | wrapper  | 2016/12/22 16:28:59 | Launching a JVM...
INFO   | jvm 1    | 2016/12/22 16:29:00 | Listening for transport dt_socket at address: 8001
INFO   | jvm 1    | 2016/12/22 16:29:00 | WrapperManager: Initializing...
INFO   | jvm 1    | 2016/12/22 16:29:00 | WrapperSimpleApp Error: Unable to locate the class com.control.Main : java.lang.ClassNotFoundException: com.control.Main
INFO   | jvm 1    | 2016/12/22 16:29:00 | 
INFO   | jvm 1    | 2016/12/22 16:29:00 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2016/12/22 16:29:00 | WrapperManager Error: Error in WrapperListener.start callback.  java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2016/12/22 16:29:00 | WrapperManager Error: java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2016/12/22 16:29:00 | WrapperManager Error: 	at java.text.MessageFormat.makeFormat(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:29:00 | WrapperManager Error: 	at java.text.MessageFormat.applyPattern(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:29:00 | WrapperManager Error: 	at java.text.MessageFormat.<init>(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:29:00 | WrapperManager Error: 	at java.text.MessageFormat.format(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:29:00 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperResources.getString(WrapperResources.java:194)
INFO   | jvm 1    | 2016/12/22 16:29:00 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.showUsage(WrapperSimpleApp.java:597)
INFO   | jvm 1    | 2016/12/22 16:29:00 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.start(WrapperSimpleApp.java:441)
INFO   | jvm 1    | 2016/12/22 16:29:00 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperManager$11.run(WrapperManager.java:4253)
INFO   | jvm 1    | 2016/12/22 16:29:00 | WrapperManager Error: Caused by: java.lang.NumberFormatException: For input string: "app_class{/app_method}"
INFO   | jvm 1    | 2016/12/22 16:29:00 | WrapperManager Error: 	at java.lang.NumberFormatException.forInputString(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:29:00 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:29:00 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:29:00 | WrapperManager Error: 	... 8 more
STATUS | wrapper  | 2016/12/22 16:29:02 | <-- Wrapper Stopped
STATUS | wrapperm | 2016/12/22 16:29:08 | Order print service service removed.
ERROR  | wrapperm | 2016/12/22 16:29:11 | The Order print service service is not installed - The specified service does not exist as an installed service. (0x424)
STATUS | wrapperm | 2016/12/22 16:29:30 | Order print service service installed.
STATUS | wrapper  | 2016/12/22 16:29:30 | --> Wrapper Started as Service
STATUS | wrapper  | 2016/12/22 16:29:31 | Java Service Wrapper Community Edition 32-bit 3.5.30
STATUS | wrapper  | 2016/12/22 16:29:31 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2016/12/22 16:29:31 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2016/12/22 16:29:31 | 
WARN   | wrapper  | 2016/12/22 16:29:31 | ---------------------------------------------------------------------
WARN   | wrapper  | 2016/12/22 16:29:31 | The JVM is being launched with a debugger enabled and could possibly
WARN   | wrapper  | 2016/12/22 16:29:31 | be suspended.  To avoid unwanted shutdowns, timeouts will be
WARN   | wrapper  | 2016/12/22 16:29:31 | disabled, removing the ability to detect and restart frozen JVMs.
WARN   | wrapper  | 2016/12/22 16:29:31 | ---------------------------------------------------------------------
STATUS | wrapper  | 2016/12/22 16:29:31 | Launching a JVM...
INFO   | jvm 1    | 2016/12/22 16:29:31 | Listening for transport dt_socket at address: 8001
INFO   | jvm 1    | 2016/12/22 16:29:31 | WrapperManager: Initializing...
INFO   | jvm 1    | 2016/12/22 16:29:31 | WrapperSimpleApp Error: Unable to locate the class com.control.Main : java.lang.ClassNotFoundException: com.control.Main
INFO   | jvm 1    | 2016/12/22 16:29:31 | 
INFO   | jvm 1    | 2016/12/22 16:29:31 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2016/12/22 16:29:31 | WrapperManager Error: Error in WrapperListener.start callback.  java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2016/12/22 16:29:31 | WrapperManager Error: java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
